traceKey,width,kind
ldut_clint_ipi_0,1,reg
ldut_clint_time,64,reg
ldut_clint_timecmp_0,64,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_0,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_1,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_2,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_3,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_4,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_5,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_6,8,reg
ldut_debug_1_dmInner_dmInner_abstractDataMem_7,8,reg
ldut_debug_1_dmInner_dmInner_abstractGeneratedMem_0,32,reg
ldut_debug_1_dmInner_dmInner_abstractGeneratedMem_1,32,reg
ldut_debug_1_dmInner_dmInner_ctrlStateReg,2,reg
ldut_debug_1_dmInner_dmInner_goReg,1,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_0,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_1,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_10,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_11,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_12,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_13,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_14,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_15,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_16,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_17,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_18,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_19,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_2,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_20,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_21,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_22,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_23,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_24,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_25,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_26,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_27,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_28,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_29,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_3,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_30,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_31,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_32,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_33,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_34,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_35,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_36,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_37,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_38,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_39,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_4,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_40,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_41,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_42,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_43,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_44,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_45,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_46,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_47,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_48,8,reg
ldut_debug_1_dmInner_dmInner_programBufferMem_49,8,reg
