traceKey,width,kind
ldut_debug_1_dmInner_dmInner_ctrlStateReg,2,reg
ldut_debug_1_dmInner_dmactive_synced_dmInner_io_innerCtrl_sink_valid_reg,1,reg
ldut_debug_1_dmInner_dmiXing_bundleIn_0_d_source_ready_reg,1,reg
ldut_debug_1_dmInner_dmiXing_bundleOut_0_a_sink_io_deq_bits_deq_bits_reg_cdc_reg,55,reg
ldut_debug_1_dmInner_dmiXing_bundleOut_0_a_sink_valid_reg,1,reg
ldut_debug_1_dmOuter_asource_bundleIn_0_d_sink_valid_reg,1,reg
ldut_debug_1_dmOuter_asource_bundleOut_0_a_source_widx_widx_bin,1,reg
ldut_debug_1_dmOuter_dmOuter_DMCONTROLReg_dmactive,1,reg
ldut_debug_1_dmOuter_dmiBypass_bar_bypass_reg,1,reg
ldut_debug_1_dmOuter_dmiBypass_bar_stall_counter,1,reg
ldut_debug_1_dmOuter_dmiBypass_error_beatsLeft,1,reg
ldut_debug_1_dmOuter_dmiBypass_error_idle,1,reg
ldut_debug_1_dmOuter_dmiXbar_beatsLeft,1,reg
ldut_debug_1_dmOuter_io_innerCtrl_source_ready_reg,1,reg
ldut_plicDomainWrapper_plic_out_back_maybe_full,1,reg
ldut_plicDomainWrapper_plic_out_back_ram__v2_bank_0_0,24,reg
ldut_plicDomainWrapper_plic_out_back_ram__v2_bank_0_1,19,reg
ldut_plicDomainWrapper_plic_out_back_ram_data,64,reg
ldut_plicDomainWrapper_plic_pending_0,1,reg
ldut_plicDomainWrapper_plic_pending_1,1,reg
ldut_subsystem_cbus_atomics_beatsLeft,9,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_address,28,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_size,4,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_source,5,reg
ldut_subsystem_cbus_atomics_cam_d_0_data,64,reg
ldut_subsystem_cbus_atomics_cam_s_0_state,2,reg
ldut_subsystem_cbus_atomics_d_first_counter,9,reg
ldut_subsystem_cbus_atomics_state_0,1,reg
ldut_subsystem_cbus_atomics_state_1,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_maybe_full,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_value,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_value_1,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_maybe_full,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_value,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_value_1,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_dToggle,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_gennum,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_full,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_saved_size,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_saved_source,5,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_dToggle,1,reg
