traceKey,width,kind
tile_core_c_exe_reg_wbaddr,5,reg
tile_core_c_io_ctl_mem_exception_REG,1,reg
tile_core_d_brjmp_offset,32,reg
tile_core_d_csr_reg_dcsr_step,1,reg
tile_core_d_csr_reg_mie_mtip,1,reg
tile_core_d_csr_reg_mstatus_mpie,1,reg
tile_core_d_csr_small,6,reg
tile_core_d_csr_small_1,6,reg
tile_core_d_dec_reg_inst,32,reg
tile_core_d_exe_alu_op1,32,reg
tile_core_d_exe_reg_ctrl_br_type,4,reg
tile_core_d_exe_reg_pc,32,reg
tile_core_d_exe_reg_rs2_data,32,reg
tile_core_d_mem_reg_alu_out,32,reg
tile_core_d_mem_reg_ctrl_csr_cmd,3,reg
tile_core_d_mem_reg_ctrl_mem_val,1,reg
tile_core_d_mem_reg_inst,32,reg
memory_bytes___access_write_0_MPORT_address,21,comb
memory_bytes___access_write_0_MPORT_data,8,comb
memory_bytes___access_write_0_MPORT_enable,1,comb
memory_bytes___access_write_1_MPORT_1_address,21,comb
memory_bytes___access_write_1_MPORT_1_data,8,comb
memory_bytes___access_write_1_MPORT_1_enable,1,comb
memory_bytes___access_write_2_MPORT_2_address,21,comb
memory_bytes___access_write_2_MPORT_2_data,8,comb
memory_bytes___access_write_2_MPORT_2_enable,1,comb
memory_bytes___access_write_3_MPORT_3_address,21,comb
memory_bytes___access_write_3_MPORT_3_data,8,comb
memory_bytes___access_write_3_MPORT_3_enable,1,comb
memory_bytes___access_write_4_MPORT_4_address,21,comb
memory_bytes___access_write_4_MPORT_4_data,8,comb
memory_bytes___access_write_4_MPORT_4_enable,1,comb
memory_bytes___access_write_5_MPORT_5_address,21,comb
memory_bytes___access_write_5_MPORT_5_data,8,comb
memory_bytes___access_write_5_MPORT_5_enable,1,comb
memory_bytes___access_write_6_MPORT_6_address,21,comb
memory_bytes___access_write_6_MPORT_6_data,8,comb
memory_bytes___access_write_6_MPORT_6_enable,1,comb
memory_bytes___access_write_7_MPORT_7_address,21,comb
memory_bytes___access_write_7_MPORT_7_data,8,comb
memory_bytes___access_write_7_MPORT_7_enable,1,comb
memory_bytes_draw_MPORT,8,comb
memory_bytes_draw_MPORT_1,8,comb
memory_bytes_draw_MPORT_1__access_address,21,comb
memory_bytes_draw_MPORT_2,8,comb
memory_bytes_draw_MPORT_2__access_address,21,comb
memory_bytes_draw_MPORT_3,8,comb
memory_bytes_draw_MPORT_3__access_address,21,comb
memory_bytes_draw_MPORT__access_address,21,comb
memory_bytes_io_core_1_resp_bits_data_MPORT,8,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_1,8,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_1__access_address,21,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_2,8,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_2__access_address,21,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_3,8,comb
memory_bytes_io_core_1_resp_bits_data_MPORT_3__access_address,21,comb
memory_bytes_io_core_1_resp_bits_data_MPORT__access_address,21,comb
memory_bytes_io_host_rdata_MPORT,8,comb
memory_bytes_io_host_rdata_MPORT_1,8,comb
memory_bytes_io_host_rdata_MPORT_1__access_address,21,comb
memory_bytes_io_host_rdata_MPORT_2,8,comb
memory_bytes_io_host_rdata_MPORT_2__access_address,21,comb
memory_bytes_io_host_rdata_MPORT_3,8,comb
memory_bytes_io_host_rdata_MPORT_3__access_address,21,comb
memory_bytes_io_host_rdata_MPORT__access_address,21,comb
memory_bytes_io_tohost_MPORT,8,comb
memory_bytes_io_tohost_MPORT_1,8,comb
memory_bytes_io_tohost_MPORT_1__access_address,21,comb
memory_bytes_io_tohost_MPORT_2,8,comb
memory_bytes_io_tohost_MPORT_2__access_address,21,comb
memory_bytes_io_tohost_MPORT_3,8,comb
memory_bytes_io_tohost_MPORT_3__access_address,21,comb
memory_bytes_io_tohost_MPORT__access_address,21,comb
regfile_regfile_io_dm_rdata_MPORT,32,comb
regfile_regfile_io_rs1_data_MPORT,32,comb
regfile_regfile_io_rs2_data_MPORT,32,comb
